"Target String","URL Safe String","User","Hub","Hub Type","Event Title","Event Locale"
".com",".com","Russell Mansfield","Charlotte","OFFICE","Worried About Identity Theft?","en_US"
".com",".com","Scott Ceniccola","Philadelphia","OFFICE","Worried about identity theft?","en_US"
".com",".com","Online Solutions","Palm Beach Gardens DEACTIVATED","OFFICE","Wealthy, Healthy and Wise","en_US"
".com",".com","Earl Marks","Mount Laurel","OFFICE","Worried about identity theft?","en_US"
".com",".com","Russell Mansfield","Russell Mansfield, CFP®, RICP®","PERSONAL","A Veteran's Day Shredding Party","en_US"
".com",".com","Russell Mansfield","Russell Mansfield, CFP®, RICP®","PERSONAL","paws4vets","en_US"
".com",".com","Mark Borcherding","Borcherding Investment Group","PERSONAL","Rising health care costs","en_US"
".com",".com","Alexandra Mass","The Droster Team","PERSONAL","Do your investments reflect your values?","en_US"
".com",".com","Rick G Wilkins","The Wilkins Investment Group","PERSONAL","The Stock Market Ahead -- Better Than You Think","en_US"
".com",".com","Mark Borcherding","Leawood","OFFICE","Recruiting Round Table","en_US"
".com",".com","Mark Borcherding","Leawood","OFFICE","Recruiting Round Table","en_US"
".com",".com","Mark Borcherding","Kansas City","OFFICE","Recruiting Round Table","en_US"
".com",".com","Mark Borcherding","Kansas City","OFFICE","Recruiting Round Table","en_US"
".com",".com","Kevin Williams","Empower Wealth Group","PERSONAL","Women, Wine & Wall Street Series","en_US"
".com",".com","Kevin Williams","Empower Wealth Group","PERSONAL","Women, Wine & Wall Street Series","en_US"
".com",".com","Kevin Williams","Empower Wealth Group","PERSONAL","Women, Wine & Wall Street Series","en_US"
".com",".com","Rick S Friedman","The Friedman-Sepolio Wealth Management Group","PERSONAL","The Friedman Wealth Management Group and RBC Wealth Management cordially invite you to an important presentation.","en_US"
".com",".com","Nancy Harris","Nancy Harris","PERSONAL","Retirement Income Planning Seminar","en_US"
".com",".com","Nancy Harris","Nancy Harris","PERSONAL","Retirement Income Planning Seminar","en_US"
".com",".com","Linda Sama","Linda Sama, CFP®","PERSONAL","Money Matters for Women","en_US"
".com",".com","Linda Sama","Linda Sama, CFP®","PERSONAL","Money Matters for Women","en_US"
".com",".com","Linda Sama","Linda Sama, CFP®","PERSONAL","Money Matters for Women","en_US"
".com",".com","Linda Sama","Linda Sama, CFP®","PERSONAL","Money Matters for Women","en_US"
