"Target String","URL Safe String","User","Hub","Hub Type","Event Title","Event Locale"
".ca",".ca","Alexandra Mass","The Droster Team","PERSONAL","Do your investments reflect your values?","en_US"
".ca",".ca","Rick G Wilkins","The Wilkins Investment Group","PERSONAL","The Stock Market Ahead -- Better Than You Think","en_US"
".ca",".ca","Larry Prutch","The PVG Group","PERSONAL","Investment Seminar at Rolling Hills Country Club","en_US"
".ca",".ca","Andrew J. Hensen","Hensen Webb Group","PERSONAL","Women's Lunch and Learn","en_US"
".ca",".ca","Brandon Calhoun","Brandon Calhoun, CRPC®","PERSONAL","How to get the most from Social Security","en_US"
".ca",".ca","AnnMarie Etergino","The Etergino Group","PERSONAL","Are you prepared for long-term care costs?","en_US"
".ca",".ca","Alexandra Mass","The Droster Team","PERSONAL","Sips, Snaps and Savvy Investors","en_US"
".ca",".ca","Alexandra Mass","The Droster Team","PERSONAL","test","en_US"
".ca",".ca","AnnMarie Etergino","The Etergino Group","PERSONAL","Connecting Wealth with Purpose; aligning your investments with your values","en_US"
".ca",".ca","Alexandra Mass","The Droster Team","PERSONAL","Cybersecurity in a digital and interconnected world","en_US"
".ca",".ca","AnnMarie Etergino","The Etergino Group","PERSONAL","Megatrends - the forces driving our future","en_US"
".ca",".ca","AnnMarie Etergino","The Etergino Group","PERSONAL","Positively impact the causes you care about while creating a family legacy","en_US"
".ca",".ca","David Richter","David Richter","PERSONAL","Charitable Giving Rules Have Changed … Are You Prepared?","en_US"
".ca",".ca","Mike Enright","True North Investment Group","PERSONAL","Charitable Giving Rules Have Changed … Are You Prepared?","en_US"
".ca",".ca","Tom J. Delich","Delich Wealth Management Group","PERSONAL","Charitable Giving Rules Have Changed... Are You Prepared?","en_US"
".ca",".ca","Julene Melquist","Koch Wealth Solutions","PERSONAL","View of the Markets","en_US"
".ca",".ca","Larry Prutch","The PVG Group","PERSONAL","City National 2019: Economic & Investment Forum","en_US"
".ca",".ca","Larry Prutch","The PVG Group","PERSONAL","Covering your assets: How to keep what you've got","en_US"
".ca",".ca","Cathy Gueli","Cathy Gueli","PERSONAL","Learn more about saving: ","en_US"
".ca",".ca","AnnMarie Etergino","The Etergino Group","PERSONAL","Market Crosscurrents","en_US"
".ca",".ca","Anthony Marrelli","The Marrelli Group","PERSONAL","The Marrelli Group Market Outlook Call","en_US"
".ca",".ca","Anthony Marrelli","The Marrelli Group","PERSONAL","The Marrelli Group Market Outlook Call","en_US"
".ca",".ca","Anthony Marrelli","The Marrelli Group","PERSONAL","Market update call","en_US"
".ca",".ca","Alexandra Mass","The Droster Team","PERSONAL","Empowered Women: Investing for Change","en_US"
".ca",".ca","AnnMarie Etergino","The Etergino Group","PERSONAL","Navigating the college admissions process","en_US"
".ca",".ca","George Castrillon","George Castrillon, CEPA®, CFP®, CPFA","PERSONAL","South Bay Networking  Hosted Happy Hour","en_US"
".ca",".ca","Tina Licari","Tina Licari, CFP®, CRPC®","PERSONAL","Let’s do brunch: Learn the true value of money","en_US"
".ca",".ca","Susan Stewart","The Stewart Group","PERSONAL","CAMP Rehoboth's Women's FEST 2020","en_US"
".ca",".ca","Gabrielle Clemens","Impact Private Wealth Group","PERSONAL","Urban Beekeeping and Impact Investing","en_US"
