"Target String","URL Safe String","User","Hub","Website","DDDMC UUID"
".net",".net","Brian King","King, Barrios & Bartlett Investment Group","us.rbcwealthmanagement.com/web/kingbarriosbartlettig","9d342932-edff-4d01-9022-b1b86184e9c9"
".net",".net","Josh Herrin","Josh Herrin, CFP®","us.rbcwealthmanagement.com/web/josh.herrin","4e3b8487-876e-472b-a48d-5b5a9d6525fd"
".net",".net","Tom Zielinski","The Zielinski Investment Group","us.rbcwealthmanagement.com/web/thezielinskiinvestmentgroup","6736e0d5-7913-40d7-b6ba-646af5ae21be"
".net",".net","John H Garlock","The Garlock Wealth Planning Group","us.rbcwealthmanagement.com/web/garlockgroup","e5a8b4a0-0a8c-4ce0-9805-2f5fcc5d39e8"
".net",".net","John H Garlock","The Garlock Jacobitz Group","us.rbcwealthmanagement.com/web/thegarlockjacobitzgroup","bbc75eef-d508-4753-8a56-1356f0c4efe9"
".net",".net","John H Garlock","The Garlock Jacobitz Group","us.rbcwealthmanagement.com/web/thegarlockjacobitzgroup","e9710af8-3b7c-4de4-95ca-f5f8cff13c61"
".net",".net","Louis Klieger","The Klieger Cooper Wealth Management Group","us.rbcwealthmanagement.com/web/kliegercooperwmg","5eb864a6-c029-48be-a6e0-072a6a3eec9e"
".net",".net","Liz Barker","Liz Barker","us.rbcwealthmanagement.com/web/elizabeth.barker","93ad4a18-2211-4cf3-9b99-704377837f9b"
".net",".net","Online Solutions","Seattle 1","us.rbcwealthmanagement.com/web/seattle1","6dada6dd-c500-46fe-a13d-98794c04df06"
".net",".net","Bill Cates","The Cates Team","us.rbcwealthmanagement.com/web/thecatesteam","85b8d860-15e4-45c0-bb0a-060f318e540c"
".net",".net","","","","e96ea715-8113-4305-86e3-0cc294e27493"
".net",".net","","","","15c8a958-d011-4994-b558-d805a7240137"
".net",".net","John R. Hershey III","The Hershey Group","us.rbcwealthmanagement.com/web/hersheygroup","4e9d8815-31da-4728-816a-b69b365e99ac"
".net",".net","John R. Hershey III","The Hershey Group","us.rbcwealthmanagement.com/web/hersheygroup","815aee80-d80b-4cd4-94bd-e6d1d8c2f54e"
