"Target String","URL Safe String","Name","Disclosure","Type"
".org",".org","","<p>* Based on the 2016-2017 average total costs of a four-year college education, including tuition, fees, room and board: $35,370 for public out-of-state, $45,370 for private (Trends in College Pricing &copy; 2016 The College Board). Assumes 7% annual inflation adjustments (FinAid.org).</p>

<p>RBC Wealth Management is not a tax advisor. All decisions regarding tax implications of your investments should be made in consultation with your independent tax advisor.</p>
","CUSTOM"
".org",".org","","<p>*Let&rsquo;s Make A Plan. <a href=""http://www.letsmakeaplan.org/choose-a-cfp-professional/why-cfp-certification-matters"">&ldquo;Why CFP&reg; Certification Matters.&rdquo;</a> 2016.</p>
","CUSTOM"
".org",".org","","<p>*Let&rsquo;s Make A Plan. &ldquo;<a href=""http://www.letsmakeaplan.org/choose-a-cfp-professional/why-cfp-certification-matters"" target=""_blank"">Why CFP&reg; Certification Matters</a>&rdquo; 2016.</p>
","CUSTOM"
".org",".org","","<p><strong>Sources:</strong></p>

<p><a href=""https://www.blackrock.com/corporate/investor-relations/larry-fink-ceo-letter"" target=""_blank"">A Fundamental Reshaping of Finance - A letter by Blackrock CEO Larry Fink</a><br />
<a href=""https://www.weforum.org/events/world-economic-forum-annual-meeting-2020"" target=""_blank"">World Economic Forum Annual Meeting &ndash; Davos 2020</a><br />
<a href=""https://www.bloomberg.com/graphics/2020-ten-funds-with-a-conscience/"" target=""_blank"">The Biggest ESG Funds Are Beating the Market</a></p>","CUSTOM"
".org",".org","","<p><strong>Sources:</strong></p>

<p><a href=""https://www.blackrock.com/corporate/investor-relations/larry-fink-ceo-letter"" target=""_blank"">A Fundamental Reshaping of Finance - A letter by Blackrock CEO Larry Fink</a><br />
<a href=""https://www.weforum.org/events/world-economic-forum-annual-meeting-2020"" target=""_blank"">World Economic Forum Annual Meeting &ndash; Davos 2020</a><br />
<a href=""https://www.bloomberg.com/graphics/2020-ten-funds-with-a-conscience/"" target=""_blank"">The Biggest ESG Funds Are Beating the Market</a></p>","CUSTOM"
".org",".org","","<p>For more information regarding college savings plans, please visit&nbsp;<a href=""http://www.collegesavings.org"" target=""_blank"">www.collegesavings.org</a>. Participation in a 529 Plan does not guarantee the investment return on contributions, if any, will be adequate to cover future tuition and other higher education expenses. State programs vary and therefore you should carefully review individual program documents before investing or sending money. Federal income tax on the earnings and a 10 percent penalty on distributions for non-qualified expenses may apply. RBC Wealth Management is not a tax advisor. All decisions regarding the tax implications of your individual investments should be made in connection with your independent tax advisor.</p>","CUSTOM"
".org",".org","","<p>For more information regarding college savings plans, please visit&nbsp;<a href=""http://www.collegesavings.org"" target=""_blank"">www.collegesavings.org</a>. Participation in a 529 Plan does not guarantee the investment return on contributions, if any, will be adequate to cover future tuition and other higher education expenses. State programs vary and therefore you should carefully review individual program documents before investing or sending money. Federal income tax on the earnings and a 10 percent penalty on distributions for non-qualified expenses may apply. RBC Wealth Management is not a tax advisor. All decisions regarding the tax implications of your individual investments should be made in connection with your independent tax advisor.</p>","CUSTOM"
".org",".org","","<p style=""margin-bottom:8.0pt""><span style=""line-height:106%""><span style=""font-size:9.0pt""><span style=""line-height:106%"">1. https://www.marketwatch.com/story/start-these-5-habits-and-you-could-live-a-healthier-life-now-and-into-your-old-age-2020-01-09?mod=home-page </span></span></span></p>

<p style=""margin-bottom:8.0pt""><span style=""line-height:106%""><span style=""font-size:9.0pt""><span style=""line-height:106%"">2. https://www.ajpmonline.org/article/S0749-3797(05)00300-4/fulltext </span></span></span></p>","CUSTOM"
".org",".org","","<p style=""margin-bottom:8.0pt""><span style=""line-height:106%""><span style=""font-size:9.0pt""><span style=""line-height:106%"">1. https://www.marketwatch.com/story/start-these-5-habits-and-you-could-live-a-healthier-life-now-and-into-your-old-age-2020-01-09?mod=home-page </span></span></span></p>

<p style=""margin-bottom:8.0pt""><span style=""line-height:106%""><span style=""font-size:9.0pt""><span style=""line-height:106%"">2. https://www.ajpmonline.org/article/S0749-3797(05)00300-4/fulltext </span></span></span></p>","CUSTOM"
".org",".org","","<p style=""margin-bottom:8.0pt""><span style=""line-height:106%""><span style=""font-size:9.0pt""><span style=""line-height:106%"">1. https://www.marketwatch.com/story/start-these-5-habits-and-you-could-live-a-healthier-life-now-and-into-your-old-age-2020-01-09?mod=home-page </span></span></span></p>

<p style=""margin-bottom:8.0pt""><span style=""line-height:106%""><span style=""font-size:9.0pt""><span style=""line-height:106%"">2. https://www.ajpmonline.org/article/S0749-3797(05)00300-4/fulltext </span></span></span></p>","CUSTOM"
