"Target String","URL Safe String","Setting"
".ca",".ca","com.veriday.digitalagent.call.to.action.button.label"
".ca",".ca","com.veriday.digitalagent.call.to.action.update.display.background"
".ca",".ca","com.veriday.digitalagent.call.to.action.update.display.excerpt"
".ca",".ca","com.veriday.digitalagent.call.to.action.update.display.image"
".ca",".ca","com.veriday.digitalagent.call.to.action.update.display.overlay"
".ca",".ca","com.veriday.digitalagent.call.to.action.update.display.title"
".ca",".ca","com.veriday.digitalagent.call.to.action.update.title"
".ca",".ca","com.veriday.digitalagent.campaign.analytics.text"
".ca",".ca","com.veriday.digitalagent.campaign.articleUrl"
".ca",".ca","com.veriday.digitalagent.campaign.mailchimp.template.id"
".ca",".ca","com.veriday.digitalagent.campaign.mass.unsubscribe.address"
".ca",".ca","com.veriday.digitalagent.campaign.next.send.date"
".ca",".ca","com.veriday.digitalagent.campaign.preview.text"
".ca",".ca","com.veriday.digitalagent.campaign.subject"
".ca",".ca","com.veriday.digitalagent.canonical.content.max.page.size"
".ca",".ca","com.veriday.digitalagent.display.categories.blog"
".ca",".ca","com.veriday.digitalagent.display.content.category.name"
".ca",".ca","com.veriday.digitalagent.form.render.checkbox.captcha"
".ca",".ca","com.veriday.digitalagent.form.render.math.captcha"
".ca",".ca","com.veriday.digitalagent.login.redirect.path.campaign"
".ca",".ca","com.veriday.digitalagent.preview.campaign.from.email"
".ca",".ca","com.veriday.digitalagent.preview.campaign.from.name"
".ca",".ca","com.veriday.digitalagent.preview.campaign.subject.prefix"
".ca",".ca","com.veriday.digitalagent.update.call.to.action.supported.view.types"
